time,U,V
1260,1.9853048,2.1056395
1266,2.8734846,1.9947844
1272,2.7857285,0.361063
1278,3.2528744,1.3988173
1284,3.642211,1.1134807
1290,2.345008,1.7888011
1296,1.574965,-0.19874668
1302,0.54929775,0.85171664
1308,1.3991003,1.15433
1314,1.5869045,1.2701378
1320,1.2629175,-2.434801
1326,1.3782597,0.9765145
1332,2.7178078,-1.6359177
1338,-0.08769077,-3.247569
1344,-0.38466644,-6.3464184
1350,-4.119788,-5.2998524
1356,-7.0603867,-5.6313705
1362,-7.7922745,-3.6610727
1368,-8.409936,-4.455907
1374,-9.9320345,-3.7486649
1380,-8.628157,-4.6857367
1386,-7.992923,-3.9274588
1392,-8.171751,-5.2140694
1398,-9.319959,-5.7400045
1404,-11.418947,-6.194869
1410,-10.27695,-4.5306606
1416,-12.277743,-5.0519543
1422,-11.036232,-5.858569
1428,-11.564098,-5.722419
1434,-10.419751,-3.481141
1440,-10.418826,-3.0310516
1446,-8.547214,-0.6216822
1452,-7.6634684,-1.6527128
1458,-5.3468094,-0.66527355
1464,-1.3108082,-4.5713587
1470,-0.08502221,-6.0394316
1476,0.35873866,-10.387434
1482,-6.9058914,-5.554307
1488,-11.800228,-3.7953863
1494,-10.424877,-3.1382837
1500,-10.512379,-1.386198
1506,-9.058988,-0.6973548
1512,-8.299743,1.38803
1518,-7.8749065,0.34118003
1524,-8.431117,-0.94817656
1530,-8.417914,0.07401812
1536,-8.081615,1.6518102
1542,-5.53889,1.172184
1548,-7.7503767,2.6744442
1554,-7.360855,4.391534
1560,-6.35553,5.5541487
1566,-3.0759602,5.953534
1572,0.33967304,2.7263584
1578,0.66067314,1.7073488
1584,-0.4107771,3.038147
1590,2.787797,1.9371634
1596,-0.43295002,-1.7305117
1602,-3.0485487,1.9746246
1608,-3.0959044,3.2561884
1614,0.31501198,0.5652343
1620,-1.07376,0.48059708
1626,1.4760075,-0.89263064
1632,0.32721424,0.06879771
1638,1.915761,-0.9393921
1644,0.63981515,-0.020201266
1650,1.1951227,-0.043078423
1656,-0.6898013,-3.020813
1662,-1.3965406,-2.687149
1668,-1.2891788,-1.7688084
1674,-1.0030289,-2.0566435
1680,-3.5160847,-1.198739
1686,-2.724989,2.1900349
1692,-2.5407362,-2.1695385
1698,-4.1832056,-2.4923983
1704,-5.5950747,-0.45913494
1710,-2.415287,0.1658135
1716,-2.7203207,-2.008356
1722,-1.3530817,-0.7179327
1728,-1.4288893,-0.16359997
1734,1.3420957,0.5497341
1740,-0.15194547,-6.4263
1746,-1.8870525,-5.488779
1752,-5.6395445,-3.2717962
1758,-7.618148,-1.4229202
1764,-6.4967957,-3.1282206
1770,-6.936758,-1.8984165
1776,-5.050596,-0.23211437
1782,-1.55828,1.3174868
1788,0.82647955,-0.58044815
1794,0.73136264,-2.9402409
1800,0.11119199,-6.3268433
1806,0.44215262,-5.9754324
1812,-2.255745,-5.7776756
1818,-5.7158146,-2.744954
1824,-7.013934,-4.4577513
1830,-5.82166,-3.1558647
1836,-6.7913523,-2.0871038
1842,-5.682721,-2.074274
1848,-4.9412975,0.4750046
1854,-0.9391937,-0.017439187
1860,0.1702022,0.045817375
1866,1.5080395,-2.758772
1872,0.3031277,-2.4844322
1878,3.6544113,0.9295556
1884,3.61584,-2.1757565
1890,2.6669416,-2.9261312
1896,0.8174083,-5.5550804
1902,-0.23608303,-5.180274
1908,-2.8045416,-6.42451
1914,-6.8292036,-3.185254
1920,-8.277978,-0.98476696
1926,-7.4435854,0.80101484
1932,-6.0309706,2.1468563
1938,-3.0885105,-1.403574
1944,1.6391289,-3.2525187
1950,-0.2457217,-4.7547216
1956,-0.5609007,-6.726206
1962,-0.28836536,-5.3759174
1968,-3.4339685,-5.8497763
1974,-7.034319,-2.5303335
1980,-7.4593983,-4.3679104
1986,-8.883499,-4.042757
1992,-9.764952,-3.0256166
1998,-9.440775,-0.6060877
2004,-8.556687,1.549118
2010,-5.6070337,-0.033209085
2016,-4.7644367,-0.06885433
2022,-3.3394327,-0.85658646
2028,-2.9804916,-0.83000755
2034,-1.8960972,-3.8830023
2040,-2.4521074,-3.5827723
2046,-2.4978685,-2.4461994
2052,-2.1604424,-4.258589
2058,-1.3694267,-5.057502
2064,-3.2319279,-3.5867453
2070,-3.4749117,-2.8629112
2076,-4.9538183,-1.3524866
2082,-3.71661,-0.75473005
2088,-3.5484543,2.015832
2094,-1.4913902,2.4939718
2100,-1.2944422,2.4455414
2106,-0.52444553,2.3642101
2112,-0.09314507,2.5002832
2118,0.031717613,0.78353643
2124,-1.0425339,1.0372553
2130,-3.3595495,1.9804373
2136,-3.8649626,3.4301329
2142,-1.9548149,1.7455807
2148,-2.3727884,1.6937094
2154,-1.5795145,0.93069667
2160,-1.6457481,1.4618635
2166,0.6611989,-0.40628505
2172,0.17825735,-0.1673131
2178,0.940675,-0.58454216
2184,-0.86593616,-2.6173763
2190,-1.4436388,-1.0259752
2196,-2.0008402,-1.8160648
2202,-1.748085,-3.8316593
2208,-5.630583,-4.437133
2214,-7.6972494,-5.1583176
2220,-9.49853,-5.528965
2226,-7.0248346,-6.967555
2232,-5.612278,-7.7212048
2238,-4.594617,-10.354252
2244,-7.567601,-6.24856
2250,-6.861375,-6.534211
2256,-9.188018,-2.9747438
2262,-10.064565,-2.291811
2268,-9.909217,-1.9150305
2274,-9.449744,-2.5296068
2280,-9.4277,0.80636543
2286,-6.257922,2.3794286
2292,-5.2566986,0.9514597
2298,-4.8307,0.7989896
2304,-4.714389,2.2736006
2310,-0.8295679,3.0179873
2316,0.9671303,1.6711884
2322,4.096488,0.000135734
2328,3.4079685,-2.0703344
2334,3.521881,-0.9207964
2340,0.54879,-3.929143
2346,-4.575899,-3.2875214
2352,-7.326236,-2.4011898
2358,-7.751811,-3.768077
2364,-8.467069,-4.820451
2370,-7.431716,-5.3616323
2376,-7.018961,-4.8593187
2382,-7.284855,-3.931139
2388,-5.454069,-4.3346825
2394,-3.1025667,-6.6883307
2400,-6.5444975,-2.4960756
2406,-4.306779,-2.401291
2412,-4.996606,-4.1711626
2418,-5.6837053,-2.1424513
2424,-7.0380173,-1.1538229
2430,-6.770278,-1.2475872
2436,-6.8064375,-1.859765
2442,-5.7740784,0.049672604
2448,-4.827285,-1.0771027
2454,-5.368723,-1.248025
2460,-5.656781,-3.140974
2466,-6.765897,-2.5457344
2472,-9.440938,-4.744364
2478,-8.928348,-5.548976
2484,-7.71402,-5.779031
2490,-7.521941,-4.7965403
2496,-6.9173164,-2.8729544
2502,-6.455413,-2.4794025
2508,-5.2008114,-3.9495268
2514,-3.793744,-3.3747692
2520,-4.737834,-3.5899487
2526,-6.1921377,-2.0319366
2532,-7.363284,-2.1106815
2538,-7.0706024,-2.1756067
2544,-8.393217,-1.1576672
2550,-7.9723425,-1.4393358
2556,-8.910094,-0.8721819
2562,-7.4774227,1.506361
2568,-7.16267,2.2958908
2574,-5.390213,2.314332
2580,-4.9360275,3.6299524
2586,-1.836916,3.2515306
2592,-0.9598799,2.1538286
2598,2.556695,-0.54475784
2604,0.4677106,-5.1501875
2610,2.3584642,-2.490593
2616,2.0424109,-4.689849
2622,-2.7859144,-3.9137459
2628,-5.1098566,-4.4239254
2634,-8.25724,-3.8783836
2640,-10.814132,-4.4182673
2646,-11.305025,-5.783801
2652,-11.717426,-3.5933237
2658,-11.10064,-1.9656754
2664,-10.779537,-0.7762327
2670,-10.60719,-2.2328663
2676,-10.037813,-1.5098228
2682,-8.494829,-0.60398483
2688,-7.7259026,1.0064282
2694,-6.9748163,-0.006951749
2700,-7.4610014,0.20140123
2706,-5.663451,1.4288073
2712,-4.389181,1.3131772
2718,-2.2065535,-0.6288872
2724,-3.85394,-0.7882544
2730,-3.1314554,0.64506704
2736,-3.9960785,1.2040393
2742,-1.0428095,1.1432025
2748,-0.17807293,-1.2563095
2754,3.132722,-2.279316
2760,3.336938,-2.2642012
2766,4.5052767,-3.4735594
2772,0.4840721,-6.1042175
2778,-6.524229,-4.080846
2784,-9.640471,-2.4209185
2790,-9.6129465,-3.3404665
2796,-9.48953,-2.6701965
2802,-8.954034,-2.3736715
2808,-7.398959,-2.6456518
2814,-6.36998,-2.8381147
2820,-5.9855957,-3.7599
2826,-6.013033,-0.26220924
2832,-3.3891,-0.48379135
2838,-4.6719666,-0.7116027
2844,-2.2702074,0.18006164
2850,-4.421258,-0.71179384
2856,-4.773158,1.2978432
2862,-2.4181776,0.82033175
2868,-3.3344288,1.0916605
2874,-0.9169378,3.8348265
2880,0.21234512,3.3293114
2886,2.933628,1.028183
2892,1.5734011,-0.49903446
2898,1.8058157,-1.8917112
2904,0.74867564,-4.2348576
2910,-1.1974831,-4.7879
2916,-4.8992567,-4.274889
2922,-5.4872923,-3.3378477
2928,-6.697543,-1.5880642
2934,-4.5317984,1.1163394
2940,-2.2280455,1.7029862
2946,1.845748,-0.23891449
2952,1.3524151,-1.4940014
2958,1.9085131,-1.9629345
2964,-1.3157644,-3.8938751
2970,0.5523508,-1.6815519
2976,-0.7062855,-2.018651
2982,-1.3351068,-0.32777804
2988,-3.4042196,-2.1826382
2994,-3.9788666,-1.1244965
3000,-5.234062,0.7793945
3006,-3.264906,2.2894
3012,-3.3975868,-1.1234903
3018,-4.525425,-0.038311828
3024,-4.9243193,2.7868052
3030,-1.2857122,1.3138399
3036,-2.9248667,-1.7504244
3042,-2.5108833,-0.5454257
3048,-2.810587,-0.07350254
3054,-1.4854383,-0.3229643
3060,-2.59799,-1.7206478
3066,-2.328123,-0.5590456
3072,-1.2681055,-0.4175682
3078,-1.046751,-1.1006393
3084,-1.9058437,-1.6022873
3090,-2.3196983,-2.338954
3096,-4.2739697,0.6590545
3102,-2.1717396,-1.3459301
3108,-4.147957,-1.9107475
3114,-3.6634417,1.1392579
3120,-3.8582668,0.86966765
3126,-3.5685873,1.7485418
3132,-5.1430626,1.3448057
3138,-4.8625937,3.0662422
3144,-4.7509823,1.6055996
3150,-3.3744364,1.3598013
3156,-4.716832,2.3156986
3162,-3.9524078,4.4912767
3168,-2.6517763,3.8197336
3174,-0.90798664,2.634632
3180,-0.72948456,3.729601
3186,1.9416761,0.660332
3192,0.05409634,-0.3855462
3198,0.3547535,-1.7578545
3204,-2.0304022,-2.0265694
3210,-3.079114,-1.0103645
