Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160401_0000,30,314,308,0,21.1,204,20160401_0009,23183,10.87,1.95
20160401_0030,30,267,262,0,21.2,175,20160401_0039,24022,10.92,1.97
20160401_0100,30,381,376,0,21.3,254,20160401_0109,27300,11.39,2.07
20160401_0130,30,407,403,0,21.4,277,20160401_0139,24562,10.76,2.01
20160401_0200,30,387,383,0,21.5,263,20160401_0209,23041,11.02,1.92
20160401_0230,30,356,352,0,21.6,238,20160401_0239,24952,10.89,2.01
20160401_0300,30,356,352,0,21.6,238,20160401_0309,24469,10.89,1.99
20160401_0330,30,373,368,0,21.5,253,20160401_0339,24667,10.79,2.01
20160401_0400,30,360,356,0,21.4,244,20160401_0409,28234,11.12,2.13
20160401_0430,30,284,279,0,21.3,190,20160401_0439,19384,10.72,1.79
20160401_0500,30,304,298,0,21.2,197,20160401_0509,26501,11.23,2.04
20160401_0530,30,256,250,0,21.1,173,20160401_0539,17177,10.14,1.73
20160401_0600,30,278,272,0,21.1,191,20160401_0609,19060,10.59,1.79
20160401_0630,30,338,332,0,21.2,221,20160401_0639,17706,10.35,1.75
20160401_0700,30,347,342,0,21.3,232,20160401_0709,13884,9.75,1.59
20160401_0730,30,312,308,0,21.4,211,20160401_0739,14586,10.04,1.61
20160401_0800,30,352,348,0,21.5,239,20160401_0809,16520,10.33,1.69
20160401_0830,30,291,288,0,21.6,194,20160401_0839,13426,9.69,1.57
20160401_0900,30,280,276,0,21.6,186,20160401_0909,14163,10.02,1.58
20160401_0930,30,282,279,0,21.5,189,20160401_0939,16381,10.32,1.68
20160401_1000,30,301,298,0,21.4,202,20160401_1009,13398,9.84,1.56
20160401_1030,30,308,304,0,21.3,205,20160401_1039,14421,10.15,1.59
20160401_1100,30,272,267,0,21.2,178,20160401_1109,17094,10.34,1.71
20160401_1130,30,252,247,0,21.1,170,20160401_1139,14361,10.1,1.59
20160401_1200,0,-311,-306,0,-25.8,NaN,20160401_1209,16899,10.29,1.7
20160401_1300,30,296,292,0,21.3,196,20160401_1309,15508,10.37,1.63
20160401_1330,30,271,267,0,21.4,181,20160401_1339,14804,10.44,1.58
20160401_1400,30,265,262,0,21.5,178,20160401_1409,15108,10.23,1.62
20160401_1430,30,270,267,0,21.6,179,20160401_1439,12415,9.97,1.49
20160401_1500,30,259,256,0,21.6,170,20160401_1509,14954,10.13,1.61
20160401_1530,30,253,250,0,21.5,169,20160401_1539,13287,10.04,1.53
20160401_1600,30,230,227,0,21.4,153,20160401_1609,10809,9.98,1.38
20160401_1630,30,240,237,0,21.3,159,20160401_1639,12520,9.94,1.49
20160401_1700,30,218,214,0,21.2,146,20160401_1709,14004,10.22,1.55
20160401_1730,30,203,199,0,21.1,137,20160401_1739,11822,9.83,1.46
20160401_1800,30,165,162,0,21.1,118,20160401_1809,9527,9.43,1.34
20160401_1830,30,198,194,0,21.2,131,20160401_1839,10072,9.79,1.35
20160401_1900,30,189,185,0,21.3,124,20160401_1909,12079,9.96,1.46
20160401_1930,30,232,229,0,21.4,155,20160401_1939,10620,9.92,1.38
20160401_2000,30,220,216,0,21.5,147,20160401_2009,10312,9.56,1.38
