Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160301_0000,30,380,375,398,21.1,251,20160301_0009,15586,9.68,1.69
20160301_0030,30,388,383,407,21.2,254,20160301_0039,12098,9.4,1.53
20160301_0100,30,501,497,525,21.3,341,20160301_0109,15472,9.86,1.68
20160301_0130,30,458,455,480,21.4,316,20160301_0139,12633,9.35,1.56
20160301_0200,30,534,531,560,21.5,370,20160301_0209,14233,9.86,1.61
20160301_0230,30,495,492,520,21.6,337,20160301_0239,16120,9.48,1.76
20160301_0300,30,530,528,557,21.6,362,20160301_0309,15769,9.43,1.74
20160301_0330,30,630,628,661,21.5,444,20160301_0339,23068,10.04,2.04
20160301_0400,30,605,602,634,21.4,424,20160301_0409,16777,9.46,1.8
20160301_0430,30,624,620,654,21.3,431,20160301_0439,16262,9.47,1.77
20160301_0500,30,521,516,547,21.2,344,20160301_0509,14410,9.54,1.66
20160301_0530,30,383,377,401,21.1,255,20160301_0539,16197,9.81,1.73
20160301_0600,30,432,427,453,21.1,286,20160301_0609,15524,9.72,1.71
20160301_0630,30,428,423,449,21.2,280,20160301_0639,17398,10.57,1.74
20160301_0700,30,478,474,501,21.3,323,20160301_0709,16222,9.88,1.73
20160301_0730,30,445,442,467,21.4,307,20160301_0739,20855,10.62,1.89
20160301_0800,30,431,428,452,21.5,296,20160301_0809,23153,11.05,1.96
20160301_0830,30,338,335,355,21.6,227,20160301_0839,19447,11.47,1.76
20160301_0900,30,317,314,333,21.6,212,20160301_0909,22513,11.75,1.87
20160301_0930,30,310,307,325,21.5,208,20160301_0939,18067,11.3,1.71
20160301_1000,30,302,299,316,21.4,204,20160301_1009,33927,12.72,2.2
20160301_1030,30,284,280,297,21.3,189,20160301_1039,35284,12.51,2.27
20160301_1100,30,305,301,319,21.2,199,20160301_1109,40164,12.56,2.41
20160301_1130,30,299,294,312,21.1,198,20160301_1139,32149,12.28,2.18
20160301_1200,30,212,208,222,21.1,143,20160301_1209,29052,12.16,2.08
20160301_1230,30,269,265,282,21.2,178,20160301_1239,38267,12.42,2.36
20160301_1300,30,253,250,265,21.3,168,20160301_1309,31416,12.49,2.13
20160301_1330,30,270,268,283,21.4,182,20160301_1339,38443,12.62,2.35
20160301_1400,30,260,258,273,21.5,175,20160301_1409,38963,12.52,2.37
20160301_1430,30,236,234,248,21.6,158,20160301_1439,40649,12.84,2.39
20160301_1500,30,212,209,222,21.6,140,20160301_1509,50164,13.19,2.63
20160301_1530,30,241,239,253,21.5,162,20160301_1539,43207,12.71,2.47
20160301_1600,30,274,271,287,21.4,185,20160301_1609,46040,12.8,2.55
20160301_1630,30,269,266,281,21.3,179,20160301_1639,46148,12.89,2.54
20160301_1700,30,233,230,244,21.2,154,20160301_1709,41523,12.56,2.44
20160301_1730,30,230,227,240,21.1,159,20160301_1739,34285,11.83,2.27
20160301_1800,30,274,270,286,21.1,186,20160301_1809,42057,12.28,2.48
20160301_1830,30,342,338,358,21.2,224,20160301_1839,38992,11.91,2.43
20160301_1900,30,537,534,562,21.3,363,20160301_1909,41649,11.53,2.55
20160301_1930,30,620,618,649,21.4,434,20160301_1939,40971,11.22,2.56
20160301_2000,30,751,750,787,21.5,534,20160301_2009,49698,11.47,2.8
20160301_2030,30,834,833,875,21.6,588,20160301_2039,51299,10.98,2.9
20160301_2100,30,884,883,928,21.6,626,20160301_2109,47496,10.45,2.86
20160301_2130,30,973,972,1020,21.5,700,20160301_2139,46305,10.79,2.79
20160301_2200,30,925,924,970,21.4,664,20160301_2209,49180,11.07,2.83
20160301_2230,30,873,870,915,21.3,609,20160301_2239,37569,10.47,2.53
20160301_2300,30,869,865,912,21.2,603,20160301_2309,46396,10.32,2.84
20160301_2330,30,691,687,726,21.1,467,20160301_2339,41425,10.34,2.69
20160302_0000,30,791,787,831,21.1,542,20160302_0009,48930,10.64,2.88
20160302_0030,30,904,901,949,21.2,629,20160302_0039,45563,9.99,2.87
20160302_0100,30,996,994,1046,21.3,707,20160302_0109,43251,10.31,2.75
20160302_0130,30,1147,1147,1204,21.4,833,20160302_0139,46110,9.96,2.88
20160302_0200,30,1079,1080,1134,21.5,780,20160302_0209,51253,10.19,3.01
20160302_0230,30,1003,1003,1056,21.6,713,20160302_0239,61450,10.59,3.22
20160302_0300,30,1048,1048,1103,21.6,748,20160302_0309,51403,10.38,2.99
20160302_0330,30,1060,1060,1114,21.5,767,20160302_0339,50241,10.31,2.96
20160302_0400,30,1017,1016,1068,21.4,736,20160302_0409,62816,11.22,3.17
20160302_0430,30,1088,1086,1141,21.3,779,20160302_0439,65150,11.14,3.25
20160302_0500,30,936,934,983,21.2,658,20160302_0509,70759,11.52,3.33
20160302_0530,30,800,796,839,21.1,551,20160302_0539,83948,12.04,3.56
20160302_0600,30,738,734,774,21.1,506,20160302_0609,72977,11.7,3.35
20160302_0630,30,863,859,905,21.2,601,20160302_0639,72264,11.59,3.37
20160302_0700,30,844,841,884,21.3,594,20160302_0709,60671,11.92,3.06
20160302_0730,30,886,884,928,21.4,636,20160302_0739,73645,12.47,3.3
20160302_0800,30,820,818,859,21.5,587,20160302_0809,64046,12.23,3.1
20160302_0830,30,765,763,803,21.6,535,20160302_0839,62134,12.58,3.03
