17:50:00 04/01/2016 , 45 , 35 , 31 
18:00:00 04/01/2016 , 45 , 35 , 31 
18:10:00 04/01/2016 , 45 , 35 , 31 
18:20:00 04/01/2016 , 45 , 35 , 31 
18:30:00 04/01/2016 , 45 , 35 , 31 
18:40:00 04/01/2016 , 45 , 35 , 31 
18:50:00 04/01/2016 , 45 , 35 , 31 
19:00:00 04/01/2016 , 46 , 35 , 31 
19:10:00 04/01/2016 , 46 , 35 , 31 
19:20:00 04/01/2016 , 46 , 35 , 31 
19:30:00 04/01/2016 , 46 , 35 , 31 
19:40:00 04/01/2016 , 46 , 36 , 31 
19:50:00 04/01/2016 , 47 , 36 , 31 
20:00:00 04/01/2016 , 47 , 36 , 31 
20:10:00 04/01/2016 , 47 , 36 , 31 
20:20:00 04/01/2016 , 47 , 36 , 31 
20:30:00 04/01/2016 , 47 , 36 , 31 
20:40:00 04/01/2016 , 47 , 36 , 31 
20:50:00 04/01/2016 , 48 , 37 , 31 
21:00:00 04/01/2016 , 48 , 36 , 31 
21:10:00 04/01/2016 , 48 , 37 , 31 
21:20:00 04/01/2016 , 48 , 37 , 31 
21:30:00 04/01/2016 , 48 , 37 , 31 
21:40:00 04/01/2016 , 48 , 37 , 31 
21:50:00 04/01/2016 , 48 , 37 , 31 
22:00:00 04/01/2016 , 48 , 37 , 31 
22:10:00 04/01/2016 , 48 , 37 , 31 
22:20:00 04/01/2016 , 48 , 37 , 31 
22:30:00 04/01/2016 , 48 , 38 , 31 
22:40:00 04/01/2016 , 49 , 38 , 31 
22:50:00 04/01/2016 , 49 , 38 , 31 
23:00:00 04/01/2016 , 49 , 38 , 31 
23:10:00 04/01/2016 , 49 , 38 , 32 
23:20:00 04/01/2016 , 48 , 38 , 32 
23:30:00 04/01/2016 , 48 , 38 , 32 
23:40:00 04/01/2016 , 49 , 39 , 32 
23:50:00 04/01/2016 , 49 , 39 , 32 
00:00:00 04/02/2016 , 49 , 39 , 32 
00:10:00 04/02/2016 , 49 , 39 , 32 
00:20:00 04/02/2016 , 49 , 39 , 32 
00:30:00 04/02/2016 , 49 , 39 , 32 
00:40:00 04/02/2016 , 49 , 39 , 32 
00:50:00 04/02/2016 , 49 , 39 , 32 
01:00:00 04/02/2016 , 49 , 39 , 32 
01:10:00 04/02/2016 , 49 , 39 , 32 
01:20:00 04/02/2016 , 49 , 39 , 32 
01:30:00 04/02/2016 , 49 , 39 , 32 
01:40:00 04/02/2016 , 48 , 39 , 32 
01:50:00 04/02/2016 , 49 , 39 , 32 
02:00:00 04/02/2016 , 49 , 39 , 32 
02:10:00 04/02/2016 , 49 , 40 , 32 
02:20:00 04/02/2016 , 49 , 39 , 32 
02:30:00 04/02/2016 , 49 , 40 , 32 
02:40:00 04/02/2016 , 49 , 39 , 32 
02:50:00 04/02/2016 , 49 , 39 , 32 
03:00:00 04/02/2016 , 49 , 39 , 32 
03:10:00 04/02/2016 , 49 , 39 , 32 
03:20:00 04/02/2016 , 48 , 39 , 32 
03:30:00 04/02/2016 , 48 , 39 , 32 
03:40:00 04/02/2016 , 48 , 39 , 32 
03:50:00 04/02/2016 , 48 , 39 , 32 
04:00:00 04/02/2016 , 48 , 39 , 32 
04:10:00 04/02/2016 , 48 , 38 , 32 
04:20:00 04/02/2016 , 48 , 38 , 32 
04:30:00 04/02/2016 , 48 , 38 , 32 
04:40:00 04/02/2016 , 48 , 38 , 32 
04:50:00 04/02/2016 , 48 , 38 , 32 
05:00:00 04/02/2016 , 47 , 37 , 32 
05:10:00 04/02/2016 , 47 , 37 , 32 
