Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160511_0200,30,906,904,0,21.5,650,20160511_0209,15092,7.56,1.91
20160511_0230,30,866,864,0,21.6,612,20160511_0239,14246,7.45,1.87
20160511_0300,30,813,810,0,21.6,573,20160511_0309,17658,7.6,2.06
20160511_0330,30,825,823,0,21.5,590,20160511_0339,14204,7.4,1.87
20160511_0400,30,835,832,0,21.4,597,20160511_0409,14990,7.31,1.94
20160511_0430,30,876,872,0,21.3,617,20160511_0439,15849,7.37,1.99
20160511_0500,30,824,819,0,21.2,572,20160511_0509,15143,7.4,1.94
20160511_0530,30,832,828,0,21.1,578,20160511_0539,15057,7.34,1.94
20160511_0600,30,800,795,0,21.1,553,20160511_0609,12182,6.8,1.83
20160511_0630,30,951,947,0,21.2,671,20160511_0639,14560,7.14,1.94
20160511_0700,30,1005,1001,0,21.3,713,20160511_0709,11242,6.79,1.76
20160511_0730,30,963,960,0,21.4,694,20160511_0739,12511,6.9,1.84
20160511_0800,30,944,942,0,21.5,682,20160511_0809,12557,6.73,1.87
20160511_0830,30,839,837,0,21.6,592,20160511_0839,11023,6.54,1.78
20160511_0900,30,831,829,0,21.6,587,20160511_0909,12777,6.69,1.89
20160511_0930,30,833,831,0,21.5,598,20160511_0939,13367,6.99,1.88
20160511_1000,30,884,881,0,21.4,633,20160511_1009,12756,6.96,1.84
20160511_1030,30,981,977,0,21.3,696,20160511_1039,11173,6.79,1.75
20160511_1100,30,852,847,0,21.2,591,20160511_1109,11255,6.77,1.76
20160511_1130,30,802,797,0,21.1,555,20160511_1139,12136,6.86,1.82
20160511_1200,30,762,757,0,21.1,524,20160511_1209,9313,6.66,1.62
20160511_1230,30,905,900,0,21.2,634,20160511_1239,11981,6.83,1.81
20160511_1300,30,860,856,0,21.3,604,20160511_1309,10853,6.88,1.72
20160511_1330,30,842,839,0,21.4,602,20160511_1339,9937,6.51,1.7
20160511_1400,30,842,839,0,21.5,604,20160511_1409,11509,6.86,1.77
20160511_1430,30,828,827,0,21.6,587,20160511_1439,11213,6.83,1.75
20160511_1500,30,750,748,0,21.6,526,20160511_1509,12356,6.89,1.82
20160511_1530,30,915,913,0,21.5,658,20160511_1539,10074,6.63,1.69
20160511_1600,30,853,851,0,21.4,610,20160511_1609,9371,6.45,1.65
20160511_1630,30,863,860,0,21.3,608,20160511_1639,13323,6.86,1.9
20160511_1700,30,718,713,0,21.2,489,20160511_1709,10115,6.79,1.67
20160511_1730,30,732,727,0,21.1,501,20160511_1739,10148,7,1.64
20160511_1800,30,710,705,0,21.1,485,20160511_1809,7929,6.55,1.51
20160511_1830,30,690,684,0,21.2,468,20160511_1839,9657,6.8,1.63
20160511_1900,30,721,717,0,21.3,500,20160511_1909,9873,7.04,1.61
20160511_1930,30,648,644,0,21.4,455,20160511_1939,9238,6.8,1.59
20160511_2000,30,682,679,0,21.5,481,20160511_2009,8273,6.94,1.48
20160511_2030,30,592,589,0,21.6,409,20160511_2039,7728,6.6,1.48
20160511_2100,30,615,612,0,21.6,425,20160511_2109,8867,7.13,1.51
20160511_2130,30,659,656,0,21.5,464,20160511_2139,8908,6.94,1.54
20160511_2200,30,662,658,0,21.4,464,20160511_2209,8341,6.6,1.54
20160511_2230,30,652,647,0,21.3,448,20160511_2239,9254,6.8,1.59
20160511_2300,30,535,529,0,21.2,353,20160511_2309,7849,6.62,1.49
20160511_2330,30,660,654,0,21.1,442,20160511_2339,7767,6.7,1.47
20160512_0000,30,560,554,0,21.1,371,20160512_0009,7903,6.6,1.5
20160512_0030,30,547,541,0,21.2,361,20160512_0039,7454,6.7,1.44
20160512_0100,30,631,625,0,21.3,431,20160512_0109,10173,7.2,1.61
20160512_0130,30,590,586,0,21.4,412,20160512_0139,6879,6.49,1.41
20160512_0200,30,627,624,0,21.5,440,20160512_0209,7289,6.68,1.43
20160512_0230,30,594,591,0,21.6,411,20160512_0239,7364,6.79,1.42
20160512_0300,30,598,595,0,21.6,414,20160512_0309,6956,6.51,1.42
20160512_0330,30,666,663,0,21.5,470,20160512_0339,8325,6.83,1.5
20160512_0400,30,670,666,0,21.4,472,20160512_0409,7925,6.46,1.52
20160512_0430,30,645,640,0,21.3,443,20160512_0439,6884,6.37,1.43
20160512_0500,30,628,622,0,21.2,422,20160512_0509,7097,6.54,1.42
20160512_0530,30,561,555,0,21.1,374,20160512_0539,8985,6.68,1.58
20160512_0600,30,610,604,0,21.1,409,20160512_0609,7532,6.41,1.49
20160512_0630,30,637,631,0,21.2,428,20160512_0639,7662,6.63,1.47
20160512_0700,30,675,670,0,21.3,464,20160512_0709,8242,6.84,1.5
20160512_0730,30,707,703,0,21.4,500,20160512_0739,7323,6.45,1.46
20160512_0800,30,649,646,0,21.5,458,20160512_0809,7500,6.61,1.46
20160512_0830,30,629,626,0,21.6,438,20160512_0839,7039,6.44,1.44
20160512_0900,30,646,643,0,21.6,450,20160512_0909,8139,6.73,1.5
20160512_0930,30,707,704,0,21.5,501,20160512_0939,8374,6.73,1.52
20160512_1000,30,611,608,0,21.4,429,20160512_1009,7727,6.77,1.46
20160512_1030,30,552,548,0,21.3,378,20160512_1039,7623,6.77,1.45
20160512_1100,30,524,518,0,21.2,345,20160512_1109,7402,6.84,1.42
20160512_1130,30,469,462,0,21.1,309,20160512_1139,8631,7.04,1.51
20160512_1200,30,464,457,0,21.1,306,20160512_1209,7696,6.95,1.43
20160512_1230,30,559,553,0,21.2,372,20160512_1239,8520,7.26,1.47
